Title: GRB Formation Rate inferred from the Spectral Peak Energy - Peak 
       Luminosity Relation  
Authors: Yonetoku D., Murakami T., Nakamura T., Yamazaki R., Inoue A.K., 
         Ioka K. 
Table: Redshifts and luminosities estimated by E_p_-L relation
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     Num    Trigger number 
   6- 11 F6.1   keV     Ep     Spectral peak energy  
  13- 17 F5.1   keV   E_Ep     Upper limit error in Ep 
  19- 23 F5.1   keV   e_Ep     Lower limit error in Ep
  25- 29 F5.2   ---     z      Redshift    
  31- 34 F4.2   ---   E_z      Upper limit error in z     
  36- 40 F5.2   ---   e_z      Lower limit error in z
  42- 48 E7.2   10-7W   Lum    Luminosity in units of erg/s 
  50- 59 E10.2  10-7W E_Lum    Upper limit error in Lum
  61- 69 E9.2   10-7W e_Lum    Lower limit error in Lum
--------------------------------------------------------------------------------
2232  228.3  32.6  35.4  3.87 1.16  1.99 2.90E53    1.67E53   4.77E53
2253  117.2  22.2  13.1  7.86 3.81  4.69 2.53E53    1.99E53   4.78E53
2254  147.6  34.5  23.4  3.41 1.44  1.64 9.96E52    7.31E52  15.18E52
2267   83.6  43.9  42.5  3.03 2.14  8.03 2.66E52    2.53E52  51.53E52
2276   32.3  14.7  15.4  0.88 0.45  0.66 8.60E50    7.13E50  25.57E50
2277  157.4  30.4  10.0  9.83 5.19  3.37 6.81E53    5.61E53   6.45E53
2287  139.9  31.9  35.8  3.81 1.63  3.86 1.06E53    0.79E53   4.38E53
2309  207.4  37.0  28.1  8.70 4.19  7.47 9.49E53    7.43E53  28.89E53
2315  165.4   9.4   9.9 10.48 2.30  3.48 8.46E53    3.64E53   7.67E53
2316  138.6   1.3   1.5  2.05 0.03  0.04 4.19E52    0.17E52   0.21E52
2321  208.0   7.5   7.8  2.64 0.19  0.21 1.35E53    0.22E53   0.28E53
2328  125.4  17.9  21.6  5.60 1.96  4.54 1.61E53    1.02E53   4.68E53
2329  896.8  11.9  12.2  2.64 0.07  0.07 2.49E54    0.16E54   0.17E54
2340  109.7   6.3   5.9  3.88 0.52  0.58 6.73E52    1.96E52   2.64E52
2345  129.4  20.5  25.4  4.17 1.40  3.12 1.05E53    0.65E53   2.81E53
2346  116.7  22.1  24.7  2.46 0.78  1.32 3.83E52    2.32E52   6.89E52
2362   65.0   5.7   5.0  1.03 0.12  0.11 4.09E51    1.07E51   1.20E51
2367  134.2  16.6  10.2  3.83 1.02  0.84 9.88E52    5.15E52   5.88E52
2380   89.5  42.9  40.3  4.02 2.84 12.71 4.73E52    4.49E52 119.38E52
2387  181.7   8.0   8.4  3.76 0.39  0.47 1.76E53    0.40E53   0.56E53
2393   53.2   2.1   2.0  0.75 0.04  0.04 2.02E51    0.23E51   0.25E51
2394  161.9  33.0  31.2  8.19 4.22 11.83 5.20E53    4.23E53  33.52E53
2423   67.6  33.5  26.2  2.74 1.84  3.83 1.50E52    1.40E52  10.34E52
2429  127.3  61.1  52.4  5.57 4.17 25.58 1.64E53    1.58E53  76.72E53
2430   53.5  28.9  27.1  1.29 0.81  1.34 3.51E51    3.20E51  16.56E51
2431   96.2  14.0  15.3  0.47 0.08  0.09 4.68E51    1.61E51   2.41E51
2432   61.1  21.8  33.6  1.48 0.69  1.93 5.38E51    4.22E51  35.50E51
2435  105.2  26.3  19.8  2.50 1.00  1.18 3.19E52    2.27E52   4.84E52
2436  320.2  73.8  49.0  6.88 3.62  5.68 1.49E54    1.23E54   4.39E54
2438   64.1   3.8   3.6  1.26 0.11  0.11 4.94E51    0.97E51   1.10E51
2443  180.9  22.1  28.2  3.08 0.74  1.33 1.28E53    0.62E53   1.72E53
2446  276.0  11.4  11.8 10.12 1.65  2.23 2.21E54    0.74E54   1.25E54
2451  153.9  36.1  43.2  5.49 2.72  9.83 2.34E53    1.88E53  21.93E53
2453   81.9  15.0  12.7  4.68 1.84  2.82 5.09E52    3.54E52  10.11E52
2458   28.7  11.2  40.4  0.56 0.24  1.36 4.74E50    3.49E50  91.21E50
2460   73.0  48.3  27.9  3.35 2.73  5.77 2.36E52    2.32E52  22.08E52
2476   65.3   1.4   1.3  1.43 0.05  0.04 5.89E51    0.46E51   0.46E51
2477  118.0   7.0   4.1 11.06 2.59  2.02 4.75E53    2.16E53   2.18E53
2482  118.3   7.1   8.4  7.11 1.36  2.21 2.16E53    0.84E53   1.86E53
2500  118.5  20.2  18.8  7.29 3.20  6.71 2.26E53    1.68E53   7.69E53
2510   68.5  31.0  46.2  1.48 0.83  2.67 6.76E51    5.86E51  75.12E51
2511   59.6  39.0  48.0  1.29 0.95  2.73 4.38E51    4.20E51  64.15E51
2519  148.4  25.9  27.5 10.24 5.15 17.93 6.53E53    5.22E53  55.23E53
2530  205.8  53.8  52.6  5.88 3.19  9.60 4.70E53    3.96E53  37.82E53
2533  380.4   5.6   5.7  4.36 0.17  0.18 9.76E53    0.88E53   1.00E53
2537  103.6   5.3   6.1  0.56 0.03  0.04 6.11E51    0.86E51   1.08E51
2570  212.6  17.2  20.8  3.47 0.61  0.94 2.12E53    0.78E53   1.62E53
2586  297.9  12.1  12.7  6.63 0.86  1.09 1.21E54    0.33E54   0.51E54
2593   72.3   4.0   4.2  2.21 0.22  0.26 1.26E52    0.28E52   0.39E52
2600  102.9  11.7   4.6  4.69 1.26  0.65 8.04E52    4.21E52   2.86E52
2603   82.2   1.4   1.3  1.48 0.04  0.04 9.72E51    0.64E51   0.59E51
2611  550.4  15.2  15.4  2.90 0.17  0.18 1.08E54    0.15E54   0.17E54
2620   73.7   4.7   4.6  2.72 0.34  0.39 1.77E52    0.49E52   0.66E52
2628  170.5   9.2   9.1  1.90 0.17  0.19 5.72E52    1.19E52   1.48E52
2634   51.0  13.9   6.8  0.78 0.25  0.14 1.93E51    1.18E51   0.96E51
2640   30.1  20.1  36.8  0.72 0.51  1.71 6.28E50    5.94E50 116.82E50
2660   88.2  14.2  12.6  5.63 2.16  3.51 8.03E52    5.45E52  16.48E52
2662  123.4  28.7  40.3  4.62 2.15  8.91 1.13E53    0.88E53  12.17E53
2665   98.6   6.3   5.9  1.19 0.11  0.11 1.10E52    0.23E52   0.26E52
2696  116.8  13.6  14.3  7.67 2.61  5.06 2.41E53    1.49E53   5.19E53
2697   93.5  25.9  24.0  4.98 2.67  6.74 7.34E52    6.16E52  45.08E52
2700  197.6  47.4  67.4  2.62 1.03  2.85 1.20E53    0.84E53   5.70E53
2703  236.2  63.1  56.2  6.94 4.00 12.16 8.25E53    7.16E53  72.85E53
2706  157.4  20.3  23.5 10.43 4.32 12.52 7.59E53    5.36E53  36.45E53
2709  189.6  13.0  14.4 10.20 2.58  4.49 1.06E54    0.51E54   1.34E54
2711  101.7  23.6  38.0  5.06 2.42 14.89 8.91E52    7.02E52 191.99E52
2728  159.5  44.8  46.0  7.75 4.74 24.43 4.57E53    4.07E53 104.51E53
2736  185.4  34.8  38.0  3.53 1.27  2.43 1.66E53    1.09E53   4.03E53
2749   48.9   8.1  29.9  1.35 0.31  1.89 3.08E51    1.47E51  23.10E51
2760   65.7  10.9   3.9  2.85 0.85  0.39 1.50E52    0.87E52   0.54E52
2774   63.5  22.4  20.9  1.93 0.94  1.53 8.13E51    6.56E51  25.12E51
2790  217.1  15.6  16.0  6.77 1.47  2.11 6.68E53    2.90E53   5.77E53
2797  273.7   9.3   9.8  3.20 0.24  0.27 3.10E53    0.53E53   0.67E53
2798  536.3   5.5   5.6  2.08 0.04  0.04 6.40E53    0.29E53   0.30E53
2799  164.5  16.6  17.6  2.81 0.54  0.73 9.23E52    3.75E52   6.85E52
2812  235.7   7.1   7.4  1.93 0.10  0.11 1.12E53    0.14E53   0.16E53
2815   91.4   5.8   5.4  6.27 1.18  1.43 1.04E53    0.40E53   0.63E53
2831  766.1  15.5  15.9  1.31 0.04  0.04 7.34E53    0.54E53   0.58E53
2852  437.3  27.3  29.8  7.57 1.54  2.33 3.30E54    1.35E54   2.79E54
2855  318.2   6.5   6.7  2.16 0.08  0.09 2.37E53    0.21E53   0.24E53
2877   48.6   1.8   1.8  0.41 0.02  0.02 1.10E51    0.11E51   0.11E51
2880  137.1  21.2  23.5  3.39 1.03  1.77 8.49E52    4.93E52  14.47E52
2889  248.9  39.0  48.5  4.20 1.40  3.12 3.93E53    2.44E53  10.44E53
2891  747.5  18.9  19.7  8.81 0.86  1.03 1.26E55    0.26E55   0.36E55
2894  217.3   8.9   9.5  1.59 0.10  0.12 7.44E52    1.14E52   1.40E52
2897   45.4   1.2   0.9  0.77 0.03  0.02 1.51E51    0.12E51   0.09E51
2913  121.6  15.7  17.0  2.09 0.45  0.61 3.31E52    1.47E52   2.86E52
2919  315.6  21.4  23.4  4.22 0.69  0.95 6.36E53    2.20E53   3.89E53
2924  101.4   8.9   8.5 10.43 3.25  5.33 3.15E53    1.81E53   4.81E53
2925   73.5  30.6  39.4  3.74 2.40 16.43 2.85E52    2.62E52 131.22E52
2929  460.5  14.8  15.6  3.95 0.31  0.37 1.22E54    0.22E54   0.29E54
2945   42.8   7.9  14.8  1.39 0.36  0.92 2.44E51    1.26E51   6.09E51
2950  120.3  32.0  25.8  8.18 4.92 14.36 2.86E53    2.53E53  24.88E53
2951  148.6  63.1  51.9  6.52 4.74 25.25 2.93E53    2.80E53  98.27E53
2953  196.3   5.0   5.2  1.11 0.04  0.04 4.03E52    0.35E52   0.39E52
2958  144.6  14.7  17.0  2.87 0.57  0.84 7.35E52    3.03E52   6.27E52
2988  199.1  28.5  34.3  7.94 3.19  9.11 7.44E53    5.18E53  34.23E53
2998   72.8   7.8   5.3  3.03 0.64  0.54 2.02E52    0.88E52   0.97E52
3001  219.3  19.5  20.8  7.40 2.00  3.36 7.96E53    4.12E53  10.75E53
3003  326.5  13.1  13.9  7.40 1.00  1.31 1.77E54    0.50E54   0.80E54
3011  178.4  39.6  42.7  1.77 0.58  0.88 5.73E52    3.56E52   9.53E52
3012   76.8  28.1  42.0  2.24 1.17  4.55 1.45E52    1.21E52  18.67E52
3015  170.5  24.1  29.3 11.37 5.18 19.51 1.04E54    0.78E54   8.48E54
3032  103.1   9.8  15.1  3.31 0.65  1.40 4.63E52    1.90E52   6.06E52
3035  167.1  47.2  76.6  1.04 0.37  0.82 2.73E52    1.78E52   8.70E52
3039  132.9   6.3   6.4  1.83 0.14  0.16 3.31E52    0.60E52   0.75E52
3042  303.1  13.3  14.1  2.99 0.28  0.33 3.44E53    0.72E53   0.97E53
3055   73.4   2.7   1.9  1.75 0.11  0.08 9.57E51    1.35E51   1.08E51
3056  125.9  13.7  16.8  2.34 0.45  0.70 4.16E52    1.68E52   3.65E52
3057  683.9  13.9  14.4  1.28 0.04  0.04 5.71E53    0.41E53   0.46E53
3067  380.4  11.8  12.5  1.88 0.10  0.11 2.82E53    0.36E53   0.42E53
3068  132.4  38.5  26.2  9.63 6.34 17.80 4.65E53    4.27E53  43.07E53
3070  171.2  33.5  23.7 11.00 6.06 12.34 9.91E53    8.34E53  42.96E53
3072   55.5  31.2  16.4  2.04 1.42  1.47 6.66E51    6.30E51  17.94E51
3075   49.7  37.5  31.5  1.67 1.39  3.10 4.13E51    4.08E51  47.39E51
3076   93.0  38.2  38.5  3.36 2.08  6.75 3.85E52    3.48E52  46.14E52
3084  166.6  37.0  35.3  6.57 3.32  8.70 3.73E53    3.02E53  21.55E53
3085   91.3  40.9  24.4  6.04 4.44 11.13 9.70E52    9.29E52  94.06E52
3093  128.6  36.9  31.5  6.45 3.80 10.93 2.15E53    1.89E53  18.15E53
3096  240.9  47.8  34.7 10.99 6.10 13.12 1.96E54    1.65E54   9.27E54
