                       trigger             logPbol_1eV_20MeV             logSbol_1eV_20MeV                        logEpk                    logEPR1024                        logEFR                    logFPR1024                        logT90
                           235                 -0.151583E+02                 -0.123969E+02                  0.571962E+01                  0.208780E+02                  0.181165E+02                  0.276149E+01                  0.327451E+01
                          7684                 -0.140753E+02                 -0.105818E+02                  0.657849E+01                  0.206537E+02                  0.171603E+02                  0.349348E+01                  0.433112E+01
                           223                 -0.155314E+02                 -0.147395E+02                  0.452458E+01                  0.200560E+02                  0.192641E+02                  0.791951E+00                  0.337349E+01
                          2515                 -0.148751E+02                 -0.142359E+02                  0.476865E+01                  0.196437E+02                  0.190045E+02                  0.639198E+00                  0.235423E+01
                          6223                 -0.154118E+02                 -0.140014E+02                  0.488839E+01                  0.203001E+02                  0.188898E+02                  0.141033E+01                  0.239881E+01
                          1120                 -0.159160E+02                 -0.144058E+02                  0.465352E+01                  0.205695E+02                  0.190593E+02                  0.151020E+01                  0.220696E+01
                          2986                 -0.151959E+02                 -0.138896E+02                  0.490681E+01                  0.201027E+02                  0.187964E+02                  0.130626E+01                  0.139426E+01
                           107                 -0.161526E+02                 -0.148648E+02                  0.440024E+01                  0.205529E+02                  0.192650E+02                  0.128784E+01                  0.534041E+01
                          5603                 -0.142739E+02                 -0.109460E+02                  0.632290E+01                  0.205968E+02                  0.172689E+02                  0.332793E+01                  0.395066E+01
                           465                 -0.159581E+02                 -0.144428E+02                  0.459826E+01                  0.205563E+02                  0.190410E+02                  0.151529E+01                  0.262612E+01
                          7662                 -0.157534E+02                 -0.149323E+02                  0.431504E+01                  0.200684E+02                  0.192473E+02                  0.821102E+00                  0.314545E+01
                          1152                 -0.155916E+02                 -0.122904E+02                  0.564364E+01                  0.212352E+02                  0.179340E+02                  0.330122E+01                  0.561640E+01
                          4959                 -0.151311E+02                 -0.120456E+02                  0.576337E+01                  0.208945E+02                  0.178090E+02                  0.308546E+01                  0.344458E+01
                          7798                 -0.149032E+02                 -0.142207E+02                  0.466504E+01                  0.195682E+02                  0.188857E+02                  0.682486E+00                  0.234468E+01
                          2112                 -0.144496E+02                 -0.103862E+02                  0.650941E+01                  0.209590E+02                  0.168956E+02                  0.406337E+01                  0.533801E+01
                          6648                 -0.152624E+02                 -0.123073E+02                  0.558607E+01                  0.208485E+02                  0.178933E+02                  0.295514E+01                  0.448164E+01
                          2472                 -0.156761E+02                 -0.129510E+02                  0.525220E+01                  0.209283E+02                  0.182032E+02                  0.272511E+01                  0.373051E+01
                          3171                 -0.145800E+02                 -0.105652E+02                  0.640349E+01                  0.209835E+02                  0.169687E+02                  0.401479E+01                  0.404691E+01
                          2230                 -0.158339E+02                 -0.144720E+02                  0.446471E+01                  0.202986E+02                  0.189367E+02                  0.136196E+01                  0.199606E+01
                           288                 -0.151531E+02                 -0.117908E+02                  0.578409E+01                  0.209372E+02                  0.175749E+02                  0.336223E+01                  0.371722E+01
                          1167                 -0.157948E+02                 -0.143952E+02                  0.446471E+01                  0.202595E+02                  0.188599E+02                  0.139958E+01                  0.320193E+01
                          2961                 -0.148711E+02                 -0.109924E+02                  0.612257E+01                  0.209937E+02                  0.171150E+02                  0.387870E+01                  0.448458E+01
                          2441                 -0.153022E+02                 -0.118050E+02                  0.569429E+01                  0.209965E+02                  0.174993E+02                  0.349717E+01                  0.406731E+01
                          6487                 -0.151188E+02                 -0.150267E+02                  0.397887E+01                  0.190977E+02                  0.190056E+02                  0.921034E-01                  0.224157E+01
                          7729                 -0.150266E+02                 -0.115941E+02                  0.572653E+01                  0.207531E+02                  0.173206E+02                  0.343246E+01                  0.421242E+01
                          2774                 -0.151093E+02                 -0.117142E+02                  0.566666E+01                  0.207760E+02                  0.173808E+02                  0.339516E+01                  0.400988E+01
                          2442                 -0.155090E+02                 -0.145250E+02                  0.423676E+01                  0.197458E+02                  0.187617E+02                  0.984042E+00                  0.316463E+01
                          3174                 -0.150810E+02                 -0.114372E+02                  0.571271E+01                  0.207937E+02                  0.171499E+02                  0.364384E+01                  0.300220E+01
                          5420                 -0.153765E+02                 -0.114777E+02                  0.568508E+01                  0.210616E+02                  0.171628E+02                  0.389874E+01                  0.394256E+01
                          6911                 -0.149996E+02                 -0.148902E+02                  0.390518E+01                  0.189048E+02                  0.187954E+02                  0.109373E+00                  0.166997E+01
                          3141                 -0.152590E+02                 -0.151759E+02                  0.345158E+01                  0.187106E+02                  0.186275E+02                  0.831233E-01                  0.828562E+00
                          2770                 -0.143981E+02                 -0.931009E+01                  0.641500E+01                  0.208131E+02                  0.157251E+02                  0.508802E+01                  0.519905E+01
                          6782                 -0.145970E+02                 -0.143854E+02                  0.626994E+01                  0.208670E+02                  0.206554E+02                  0.211608E+00                  0.368084E+01
                          7191                 -0.148615E+02                 -0.148187E+02                  0.556074E+01                  0.204222E+02                  0.203794E+02                  0.428281E-01                  0.380511E+01
                          3378                 -0.143257E+02                 -0.122930E+02                  0.669361E+01                  0.210193E+02                  0.189866E+02                  0.203272E+01                  0.227500E+01
                          3926                 -0.142147E+02                 -0.123579E+02                  0.662914E+01                  0.208438E+02                  0.189870E+02                  0.185680E+01                  0.229777E+01
                          3284                 -0.147013E+02                 -0.144289E+02                  0.563212E+01                  0.203334E+02                  0.200610E+02                  0.272419E+00                  0.162058E+01
                          5573                 -0.150426E+02                 -0.129974E+02                  0.630678E+01                  0.213494E+02                  0.193042E+02                  0.204516E+01                  0.205515E+01
                          2862                 -0.149225E+02                 -0.144923E+02                  0.557226E+01                  0.204947E+02                  0.200646E+02                  0.430146E+00                  0.373337E+01
                          6131                 -0.143261E+02                 -0.132275E+02                  0.613869E+01                  0.204648E+02                  0.193662E+02                  0.109856E+01                  0.230758E+01
                          6435                 -0.151148E+02                 -0.146325E+02                  0.541568E+01                  0.205305E+02                  0.200481E+02                  0.482392E+00                  0.374951E+01
